Countries,Province/State,date,confirmed,recovered,deaths,CHE_per_capita,CHE_prop_GDP,DOM_prop_CHE,OOPS_prop_CHE,GGHE_prop_GDP,GGHE_per_capita,PVT_per_capita,OOPS_per_capita,GOV_SUB_INS,GGE,Lat,Long,Country Income Group
Albania,NA,2020-02-05,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-06,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-07,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-08,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-09,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-10,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-11,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-12,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-13,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-14,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-15,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-16,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-17,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-18,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-19,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-20,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-21,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-22,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-23,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-24,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-25,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-26,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-27,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-28,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-02-29,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-01,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-02,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-03,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-04,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-05,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-06,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-07,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-08,0,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-09,2,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-10,10,0,0,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-11,12,0,1,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-12,23,0,1,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-13,33,0,1,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-14,38,0,1,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-15,42,0,1,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-16,51,0,1,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-17,55,0,1,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-18,59,0,2,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-19,64,0,2,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-20,70,0,2,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
Albania,NA,2020-03-21,76,2,2,NA,NA,NA,NA,4,190,NA,NA,0,NA,41.1533,20.1683,Up-Mid
